all,quarter,industry_section_code,industry_section,industry_division,number_of_persons_engaged_total,number_of_persons_engaged_male,number_of_persons_engaged_female,number_of_vacancies,number_of_establishments
All,2000 Q1,R,"Arts, entertainment and recreation",Creative and performing arts activities,2057,1190,867,58,474
All,2000 Q1,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",322,112,210,5,63
All,2000 Q1,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
All,2000 Q1,R,"Arts, entertainment and recreation",Sports and other entertainment services,0,0,0,0,0
All,2000 Q1,S,Other services,Activities of membership organisations,9212,4185,5027,112,977
All,2000 Q1,S,Other services,"Repair of motor vehicles, motorcycles, computers, personal and household goods",18170,15213,2957,180,5381
All,2000 Q1,S,Other services,Other personal services,30016,14460,15556,783,6887
All,2000 Q2,C,Manufacturing,Manufacture of food products,17785,11115,6670,161,687
All,2000 Q2,C,Manufacturing,Manufacture of beverages,2749,2296,453,9,26
All,2000 Q2,C,Manufacturing,Manufacture of tobacco products,413,315,98,0,3
All,2000 Q2,C,Manufacturing,Manufacture of textiles,16011,9717,6294,131,1412
All,2000 Q2,C,Manufacturing,Manufacture of wearing apparel,54453,15428,39025,838,2985
All,2000 Q2,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",1870,1154,716,38,411
All,2000 Q2,C,Manufacturing,Manufacture of paper and paper products,3698,2678,1020,17,622
All,2000 Q2,C,Manufacturing,Printing and reproduction of recorded media,27160,19846,7314,251,4025
All,2000 Q2,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2653,1875,778,47,277
All,2000 Q2,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2682,1222,1460,10,190
All,2000 Q2,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",6446,4566,1880,49,1122
All,2000 Q2,C,Manufacturing,Manufacture of other non-metallic mineral products,2886,2264,622,38,280
All,2000 Q2,C,Manufacturing,Manufacture of basic metals,1365,1156,209,9,130
All,2000 Q2,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),10733,7946,2787,67,2033
All,2000 Q2,C,Manufacturing,"Manufacture of computer, electronic and optical products",25339,11561,13778,386,804
All,2000 Q2,C,Manufacturing,Manufacture of electrical equipment,4738,2703,2035,50,423
All,2000 Q2,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,6695,5191,1504,62,1492
All,2000 Q2,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,1507,1223,284,42,89
All,2000 Q2,C,Manufacturing,Manufacture of furniture,992,803,189,3,283
All,2000 Q2,C,Manufacturing,Other manufacturing,14714,9828,4886,71,2365
All,2000 Q2,C,Manufacturing,Repair and installation of machinery and equipment,14805,12055,2750,208,1869
All,2000 Q2,B,Mining and quarrying,Quarrying and other mining of non-metal ores,233,220,13,0,5
All,2000 Q2,D,Electricity and gas supply,Electricity and gas supply,8290,6742,1548,22,18
All,2000 Q2,E,"Sewerage, waste management and remediation services",Sewerage,236,128,108,0,39
All,2000 Q2,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",2097,1269,828,32,232
All,2000 Q2,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,84,47,37,0,14
All,2000 Q2,F,Construction,Construction sites (manual workers only),79261,74082,5179,450,1008
All,2000 Q2,F,Construction,Public sector sites,43782,41446,2336,274,443
All,2000 Q2,F,Construction,Public sector building sites,28621,26734,1887,178,225
All,2000 Q2,F,Construction,Public sector civil engineering sites,15161,14712,449,96,218
All,2000 Q2,F,Construction,Private sector sites,35479,32636,2843,176,565
All,2000 Q2,F,Construction,Private sector building sites,34104,31310,2794,176,494
All,2000 Q2,F,Construction,Private sector civil engineering sites,1375,1326,49,0,71
All,2000 Q2,G,"Import/export, wholesale and retail trades",Import and export trade,525894,286154,239740,8219,101751
All,2000 Q2,G,"Import/export, wholesale and retail trades",Wholesale,76269,48548,27721,955,16606
All,2000 Q2,G,"Import/export, wholesale and retail trades",Retail trade,209030,98424,110606,2584,55351
All,2000 Q2,H,"Transportation, storage, postal and courier services",Land transport,43786,37946,5840,325,2583
All,2000 Q2,H,"Transportation, storage, postal and courier services",Water transport,9433,6091,3342,101,390
All,2000 Q2,H,"Transportation, storage, postal and courier services",Air transport,14397,5317,9080,83,107
All,2000 Q2,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,54206,35668,18538,615,4131
All,2000 Q2,H,"Transportation, storage, postal and courier services",Postal and courier services,12400,7981,4419,302,669
All,2000 Q2,I,Accommodation and food services,Accommodation services,28569,16433,12136,602,746
All,2000 Q2,I,Accommodation and food services,Food and beverage services,194870,98052,96818,1317,10656
All,2000 Q2,J,Information and communications,Publishing,18793,11294,7499,297,1031
All,2000 Q2,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",14486,9056,5430,246,1540
All,2000 Q2,J,Information and communications,Telecommunications,24557,15405,9152,493,428
All,2000 Q2,J,Information and communications,Information technology services,19437,13696,5741,1028,3207
All,2000 Q2,J,Information and communications,Information services,2741,1552,1189,43,385
All,2000 Q2,K,Financing and insurance,Financial services (except insurance and pension funding),107392,50206,57186,1829,6140
All,2000 Q2,K,Financing and insurance,Insurance,10312,3958,6354,435,166
