all,quarter,industry_section_code,industry_section,industry_division,number_of_persons_engaged_total,number_of_persons_engaged_male,number_of_persons_engaged_female,number_of_vacancies,number_of_establishments
All,2004 Q3,S,Other services,Other personal services,34865,13020,21845,934,8321
All,2004 Q4,C,Manufacturing,Manufacture of food products,19434,11199,8235,137,728
All,2004 Q4,C,Manufacturing,Manufacture of beverages,3282,2484,798,8,24
All,2004 Q4,C,Manufacturing,Manufacture of tobacco products,529,389,140,2,3
All,2004 Q4,C,Manufacturing,Manufacture of textiles,10816,6233,4583,60,937
All,2004 Q4,C,Manufacturing,Manufacture of wearing apparel,31663,7978,23685,295,1781
All,2004 Q4,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",616,461,155,14,191
All,2004 Q4,C,Manufacturing,Manufacture of paper and paper products,2138,1478,660,4,426
All,2004 Q4,C,Manufacturing,Printing and reproduction of recorded media,22134,14708,7426,210,3248
All,2004 Q4,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2662,1832,830,26,221
All,2004 Q4,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2662,1217,1445,27,230
All,2004 Q4,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",3079,1989,1090,2,585
All,2004 Q4,C,Manufacturing,Manufacture of other non-metallic mineral products,1231,1020,211,0,202
All,2004 Q4,C,Manufacturing,Manufacture of basic metals,1127,933,194,10,75
All,2004 Q4,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),4552,3525,1027,33,1125
All,2004 Q4,C,Manufacturing,"Manufacture of computer, electronic and optical products",13262,6603,6659,184,387
All,2004 Q4,C,Manufacturing,Manufacture of electrical equipment,2997,1689,1308,21,275
All,2004 Q4,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,3269,2772,497,29,837
All,2004 Q4,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,1872,1427,445,10,104
All,2004 Q4,C,Manufacturing,Manufacture of furniture,328,284,44,0,139
All,2004 Q4,C,Manufacturing,Other manufacturing,9508,5803,3705,62,1540
All,2004 Q4,C,Manufacturing,Repair and installation of machinery and equipment,10129,8436,1693,163,1219
All,2004 Q4,B,Mining and quarrying,Quarrying and other mining of non-metal ores,134,128,6,0,6
All,2004 Q4,D,Electricity and gas supply,Electricity and gas supply,8128,6956,1172,0,16
All,2004 Q4,E,"Sewerage, waste management and remediation services",Sewerage,347,217,130,0,34
All,2004 Q4,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",1917,1252,665,3,226
All,2004 Q4,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,59,19,40,0,10
All,2004 Q4,F,Construction,Construction sites (manual workers only),61247,56354,4893,33,1010
All,2004 Q4,F,Construction,Public sector sites,27821,26576,1245,33,367
All,2004 Q4,F,Construction,Public sector building sites,10822,10206,616,7,140
All,2004 Q4,F,Construction,Public sector civil engineering sites,16999,16370,629,26,227
All,2004 Q4,F,Construction,Private sector sites,33426,29778,3648,0,643
All,2004 Q4,F,Construction,Private sector building sites,30571,27070,3501,0,529
All,2004 Q4,F,Construction,Private sector civil engineering sites,2855,2708,147,0,114
All,2004 Q4,G,"Import/export, wholesale and retail trades",Import and export trade,502270,262351,239919,5627,96379
All,2004 Q4,G,"Import/export, wholesale and retail trades",Wholesale,70094,43191,26903,800,14824
All,2004 Q4,G,"Import/export, wholesale and retail trades",Retail trade,215432,91371,124061,2588,53930
All,2004 Q4,H,"Transportation, storage, postal and courier services",Land transport,43830,38040,5790,315,2677
All,2004 Q4,H,"Transportation, storage, postal and courier services",Water transport,8775,5456,3319,32,275
All,2004 Q4,H,"Transportation, storage, postal and courier services",Air transport,17382,6835,10547,94,111
All,2004 Q4,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,61576,37761,23815,443,4044
All,2004 Q4,H,"Transportation, storage, postal and courier services",Postal and courier services,11085,7365,3720,106,605
All,2004 Q4,I,Accommodation and food services,Accommodation services,25471,14214,11257,403,690
All,2004 Q4,I,Accommodation and food services,Food and beverage services,187572,86571,101001,1762,11576
All,2004 Q4,J,Information and communications,Publishing,18891,10979,7912,81,1510
All,2004 Q4,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",15439,9636,5803,130,1596
All,2004 Q4,J,Information and communications,Telecommunications,17857,10609,7248,260,336
All,2004 Q4,J,Information and communications,Information technology services,27949,20927,7022,480,4457
All,2004 Q4,J,Information and communications,Information services,3231,1484,1747,112,375
All,2004 Q4,K,Financing and insurance,Financial services (except insurance and pension funding),97307,44096,53211,1381,5075
All,2004 Q4,K,Financing and insurance,Insurance,12213,5098,7115,225,129
All,2004 Q4,K,Financing and insurance,Services auxiliary to financial and insurance services,41760,20122,21638,1257,9326
All,2004 Q4,L,Real estate,Real estate,87828,59872,27956,2059,8949
All,2004 Q4,M,"Professional, scientific and technical services",Legal and accounting services,36591,16028,20563,503,5085
All,2004 Q4,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,25063,12802,12261,804,3993
All,2004 Q4,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",26639,18533,8106,313,2499
All,2004 Q4,M,"Professional, scientific and technical services",Scientific research and development,595,372,223,32,34
All,2004 Q4,M,"Professional, scientific and technical services",Advertising and market research,11786,6567,5219,175,3043
All,2004 Q4,M,"Professional, scientific and technical services","Veterinary services; Other professional, scientific and technical services",15876,9456,6420,309,4594
All,2004 Q4,N,Administrative and support services,Rental and leasing services,1537,1104,433,9,432
All,2004 Q4,N,Administrative and support services,Employment services,10522,3861,6661,219,1413
All,2004 Q4,N,Administrative and support services,"Travel agency, reservation service and related services",19487,8127,11360,273,2141
All,2004 Q4,N,Administrative and support services,Security and investigation services,36602,29220,7382,781,129
All,2004 Q4,N,Administrative and support services,Services to buildings and landscape care,55418,22434,32984,447,1193
All,2004 Q4,N,Administrative and support services,"Office administrative, office support and other business support services",19382,9640,9742,320,3976
All,2004 Q4,P,Education,Education,134461,49456,85005,1112,5442
All,2004 Q4,Q,Human health and social work services,Human health services,74684,21001,53683,1023,4995
All,2004 Q4,Q,Human health and social work services,Residential care services,24240,3632,20608,408,1067
All,2004 Q4,Q,Human health and social work services,Social work services,29714,7315,22399,421,1802
All,2004 Q4,R,"Arts, entertainment and recreation",Creative and performing arts activities,2153,1238,915,6,527
All,2004 Q4,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",453,166,287,18,79
All,2004 Q4,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
All,2004 Q4,R,"Arts, entertainment and recreation",Sports and other entertainment services,0,0,0,0,0
All,2004 Q4,S,Other services,Activities of membership organisations,9828,4650,5178,153,876
All,2004 Q4,S,Other services,"Repair of motor vehicles, motorcycles, computers, personal and household goods",16354,13444,2910,150,4939
All,2004 Q4,S,Other services,Other personal services,34382,13541,20841,722,8420
All,2005 Q1,C,Manufacturing,Manufacture of food products,20307,11767,8540,168,730
All,2005 Q1,C,Manufacturing,Manufacture of beverages,3369,2576,793,28,22
All,2005 Q1,C,Manufacturing,Manufacture of tobacco products,523,386,137,3,3
All,2005 Q1,C,Manufacturing,Manufacture of textiles,10905,6254,4651,75,967
All,2005 Q1,C,Manufacturing,Manufacture of wearing apparel,30027,8040,21987,392,1703
All,2005 Q1,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",548,444,104,4,177
All,2005 Q1,C,Manufacturing,Manufacture of paper and paper products,1952,1437,515,9,415
All,2005 Q1,C,Manufacturing,Printing and reproduction of recorded media,21394,14732,6662,189,3222
All,2005 Q1,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2487,1878,609,21,221
All,2005 Q1,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2883,1350,1533,29,240
All,2005 Q1,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",2934,1982,952,4,528
All,2005 Q1,C,Manufacturing,Manufacture of other non-metallic mineral products,1202,1039,163,17,208
All,2005 Q1,C,Manufacturing,Manufacture of basic metals,1142,934,208,10,73
All,2005 Q1,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),5520,3914,1606,32,1241
All,2005 Q1,C,Manufacturing,"Manufacture of computer, electronic and optical products",12503,6364,6139,160,341
All,2005 Q1,C,Manufacturing,Manufacture of electrical equipment,2888,1628,1260,30,252
All,2005 Q1,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,2564,2284,280,13,696
All,2005 Q1,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,1931,1484,447,33,89
All,2005 Q1,C,Manufacturing,Manufacture of furniture,306,260,46,0,138
All,2005 Q1,C,Manufacturing,Other manufacturing,9308,5872,3436,124,1619
All,2005 Q1,C,Manufacturing,Repair and installation of machinery and equipment,10511,8701,1810,376,1397
All,2005 Q1,B,Mining and quarrying,Quarrying and other mining of non-metal ores,130,124,6,0,6
All,2005 Q1,D,Electricity and gas supply,Electricity and gas supply,8090,6934,1156,3,16
All,2005 Q1,E,"Sewerage, waste management and remediation services",Sewerage,376,255,121,0,35
All,2005 Q1,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",1766,925,841,10,203
All,2005 Q1,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,72,52,20,0,16
All,2005 Q1,F,Construction,Construction sites (manual workers only),65761,59823,5938,3,956
All,2005 Q1,F,Construction,Public sector sites,28704,27241,1463,3,354
All,2005 Q1,F,Construction,Public sector building sites,11482,10828,654,0,126
All,2005 Q1,F,Construction,Public sector civil engineering sites,17222,16413,809,3,228
All,2005 Q1,F,Construction,Private sector sites,37057,32582,4475,0,602
All,2005 Q1,F,Construction,Private sector building sites,33967,29692,4275,0,487
All,2005 Q1,F,Construction,Private sector civil engineering sites,3090,2890,200,0,115
All,2005 Q1,G,"Import/export, wholesale and retail trades",Import and export trade,511962,267742,244220,9123,96484
All,2005 Q1,G,"Import/export, wholesale and retail trades",Wholesale,69862,42586,27276,1116,15203
All,2005 Q1,G,"Import/export, wholesale and retail trades",Retail trade,212965,90075,122890,2976,53578
All,2005 Q1,H,"Transportation, storage, postal and courier services",Land transport,43372,37591,5781,284,2736
All,2005 Q1,H,"Transportation, storage, postal and courier services",Water transport,8800,5553,3247,46,280
All,2005 Q1,H,"Transportation, storage, postal and courier services",Air transport,17408,6771,10637,110,109
All,2005 Q1,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,63394,39489,23905,841,4156
All,2005 Q1,H,"Transportation, storage, postal and courier services",Postal and courier services,10920,7298,3622,166,603
All,2005 Q1,I,Accommodation and food services,Accommodation services,26010,14681,11329,548,738
All,2005 Q1,I,Accommodation and food services,Food and beverage services,185854,87327,98527,1954,11600
All,2005 Q1,J,Information and communications,Publishing,18162,10127,8035,298,1205
All,2005 Q1,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",14809,9637,5172,97,1519
All,2005 Q1,J,Information and communications,Telecommunications,17045,10192,6853,209,319
All,2005 Q1,J,Information and communications,Information technology services,28650,21438,7212,806,4441
All,2005 Q1,J,Information and communications,Information services,2551,1329,1222,94,439
All,2005 Q1,K,Financing and insurance,Financial services (except insurance and pension funding),99029,45629,53400,1581,5174
All,2005 Q1,K,Financing and insurance,Insurance,12451,4715,7736,229,129
All,2005 Q1,K,Financing and insurance,Services auxiliary to financial and insurance services,40662,19919,20743,1511,9540
All,2005 Q1,L,Real estate,Real estate,90504,61230,29274,2460,9327
All,2005 Q1,M,"Professional, scientific and technical services",Legal and accounting services,37277,16564,20713,548,5352
All,2005 Q1,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,23902,11878,12024,830,3889
All,2005 Q1,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",26856,18376,8480,532,2518
All,2005 Q1,M,"Professional, scientific and technical services",Scientific research and development,618,415,203,27,43
All,2005 Q1,M,"Professional, scientific and technical services",Advertising and market research,11843,6587,5256,294,3079
All,2005 Q1,M,"Professional, scientific and technical services","Veterinary services; Other professional, scientific and technical services",15210,8612,6598,296,4751
All,2005 Q1,N,Administrative and support services,Rental and leasing services,1605,982,623,20,427
All,2005 Q1,N,Administrative and support services,Employment services,9026,3510,5516,212,1468
All,2005 Q1,N,Administrative and support services,"Travel agency, reservation service and related services",18575,7659,10916,416,2084
All,2005 Q1,N,Administrative and support services,Security and investigation services,35752,27315,8437,686,149
All,2005 Q1,N,Administrative and support services,Services to buildings and landscape care,54672,21671,33001,259,1267
All,2005 Q1,N,Administrative and support services,"Office administrative, office support and other business support services",19479,9850,9629,423,4021
All,2005 Q1,P,Education,Education,132946,49298,83648,1237,5444
All,2005 Q1,Q,Human health and social work services,Human health services,74795,21014,53781,1008,4986
All,2005 Q1,Q,Human health and social work services,Residential care services,24252,3514,20738,420,1022
All,2005 Q1,Q,Human health and social work services,Social work services,28506,6669,21837,347,1763
All,2005 Q1,R,"Arts, entertainment and recreation",Creative and performing arts activities,2209,1129,1080,34,559
All,2005 Q1,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",421,168,253,16,75
All,2005 Q1,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
All,2005 Q1,R,"Arts, entertainment and recreation",Sports and other entertainment services,0,0,0,0,0
All,2005 Q1,S,Other services,Activities of membership organisations,9363,3900,5463,171,885
All,2005 Q1,S,Other services,"Repair of motor vehicles, motorcycles, computers, personal and household goods",16764,13910,2854,215,4956
All,2005 Q1,S,Other services,Other personal services,36637,14044,22593,1563,8610
All,2005 Q2,C,Manufacturing,Manufacture of food products,19662,10808,8854,135,720
All,2005 Q2,C,Manufacturing,Manufacture of beverages,3400,2578,822,26,22
All,2005 Q2,C,Manufacturing,Manufacture of tobacco products,513,376,137,5,3
All,2005 Q2,C,Manufacturing,Manufacture of textiles,11153,6337,4816,51,963
All,2005 Q2,C,Manufacturing,Manufacture of wearing apparel,29025,7888,21137,316,1691
All,2005 Q2,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",570,423,147,4,192
All,2005 Q2,C,Manufacturing,Manufacture of paper and paper products,2310,1621,689,26,456
All,2005 Q2,C,Manufacturing,Printing and reproduction of recorded media,21533,14953,6580,201,3215
All,2005 Q2,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2922,2019,903,10,260
All,2005 Q2,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2258,963,1295,9,196
All,2005 Q2,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",3030,2088,942,27,583
All,2005 Q2,C,Manufacturing,Manufacture of other non-metallic mineral products,1292,1083,209,4,219
All,2005 Q2,C,Manufacturing,Manufacture of basic metals,1228,1010,218,16,94
All,2005 Q2,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),5204,3773,1431,45,1157
All,2005 Q2,C,Manufacturing,"Manufacture of computer, electronic and optical products",11586,6069,5517,234,372
All,2005 Q2,C,Manufacturing,Manufacture of electrical equipment,3083,1687,1396,30,263
All,2005 Q2,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,2804,2460,344,48,697
All,2005 Q2,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,1886,1410,476,57,117
All,2005 Q2,C,Manufacturing,Manufacture of furniture,448,337,111,0,156
All,2005 Q2,C,Manufacturing,Other manufacturing,9597,6056,3541,128,1544
All,2005 Q2,C,Manufacturing,Repair and installation of machinery and equipment,10109,8347,1762,259,1310
All,2005 Q2,B,Mining and quarrying,Quarrying and other mining of non-metal ores,124,118,6,0,6
All,2005 Q2,D,Electricity and gas supply,Electricity and gas supply,8040,6881,1159,3,14
All,2005 Q2,E,"Sewerage, waste management and remediation services",Sewerage,123,33,90,0,35
All,2005 Q2,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",1506,763,743,5,197
All,2005 Q2,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,53,52,1,0,13
All,2005 Q2,F,Construction,Construction sites (manual workers only),60001,55329,4672,9,951
All,2005 Q2,F,Construction,Public sector sites,26454,24750,1704,3,345
All,2005 Q2,F,Construction,Public sector building sites,10027,9192,835,0,126
All,2005 Q2,F,Construction,Public sector civil engineering sites,16427,15558,869,3,219
All,2005 Q2,F,Construction,Private sector sites,33547,30579,2968,6,606
All,2005 Q2,F,Construction,Private sector building sites,31266,28411,2855,6,488
All,2005 Q2,F,Construction,Private sector civil engineering sites,2281,2168,113,0,118
All,2005 Q2,G,"Import/export, wholesale and retail trades",Import and export trade,504930,263251,241679,8276,95787
All,2005 Q2,G,"Import/export, wholesale and retail trades",Wholesale,70980,43600,27380,1016,15347
All,2005 Q2,G,"Import/export, wholesale and retail trades",Retail trade,221943,92829,129114,3205,54330
All,2005 Q2,H,"Transportation, storage, postal and courier services",Land transport,44749,38788,5961,392,2649
All,2005 Q2,H,"Transportation, storage, postal and courier services",Water transport,8842,5607,3235,18,278
All,2005 Q2,H,"Transportation, storage, postal and courier services",Air transport,17614,6817,10797,126,109
All,2005 Q2,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,62623,37961,24662,797,4150
All,2005 Q2,H,"Transportation, storage, postal and courier services",Postal and courier services,11321,7646,3675,160,614
All,2005 Q2,I,Accommodation and food services,Accommodation services,26291,14874,11417,546,731
All,2005 Q2,I,Accommodation and food services,Food and beverage services,189571,89949,99622,2236,11683
All,2005 Q2,J,Information and communications,Publishing,20307,11151,9156,238,1463
All,2005 Q2,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",14747,9402,5345,204,1599
All,2005 Q2,J,Information and communications,Telecommunications,17760,10897,6863,323,347
All,2005 Q2,J,Information and communications,Information technology services,28426,20994,7432,639,4488
All,2005 Q2,J,Information and communications,Information services,2310,1174,1136,118,424
All,2005 Q2,K,Financing and insurance,Financial services (except insurance and pension funding),100161,46182,53979,2038,5052
All,2005 Q2,K,Financing and insurance,Insurance,12581,4788,7793,278,136
All,2005 Q2,K,Financing and insurance,Services auxiliary to financial and insurance services,43553,21236,22317,2231,9251
All,2005 Q2,L,Real estate,Real estate,93266,63532,29734,2521,9465
All,2005 Q2,M,"Professional, scientific and technical services",Legal and accounting services,38032,17144,20888,473,5253
All,2005 Q2,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,25161,13418,11743,777,4133
All,2005 Q2,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",26468,17932,8536,398,2374
All,2005 Q2,M,"Professional, scientific and technical services",Scientific research and development,580,340,240,27,59
All,2005 Q2,M,"Professional, scientific and technical services",Advertising and market research,13293,7530,5763,362,3124
All,2005 Q2,M,"Professional, scientific and technical services","Veterinary services; Other professional, scientific and technical services",15758,9007,6751,322,4494
All,2005 Q2,N,Administrative and support services,Rental and leasing services,2104,1204,900,45,461
All,2005 Q2,N,Administrative and support services,Employment services,8133,2904,5229,131,1522
All,2005 Q2,N,Administrative and support services,"Travel agency, reservation service and related services",20044,8407,11637,551,2170
All,2005 Q2,N,Administrative and support services,Security and investigation services,36859,28930,7929,690,169
All,2005 Q2,N,Administrative and support services,Services to buildings and landscape care,55237,20611,34626,363,1230
All,2005 Q2,N,Administrative and support services,"Office administrative, office support and other business support services",18225,9230,8995,271,3577
All,2005 Q2,P,Education,Education,133343,49159,84184,1350,5550
All,2005 Q2,Q,Human health and social work services,Human health services,74972,21114,53858,1203,5190
All,2005 Q2,Q,Human health and social work services,Residential care services,23813,3381,20432,462,1061
All,2005 Q2,Q,Human health and social work services,Social work services,27578,6160,21418,380,1684
All,2005 Q2,R,"Arts, entertainment and recreation",Creative and performing arts activities,2238,1204,1034,8,628
All,2005 Q2,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",439,175,264,24,75
All,2005 Q2,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
All,2005 Q2,R,"Arts, entertainment and recreation",Sports and other entertainment services,0,0,0,0,0
All,2005 Q2,S,Other services,Activities of membership organisations,8509,3618,4891,173,876
All,2005 Q2,S,Other services,"Repair of motor vehicles, motorcycles, computers, personal and household goods",16857,13895,2962,298,5036
All,2005 Q2,S,Other services,Other personal services,38043,13703,24340,1253,8508
All,2005 Q3,C,Manufacturing,Manufacture of food products,21011,11797,9214,230,737
All,2005 Q3,C,Manufacturing,Manufacture of beverages,3508,2602,906,37,22
All,2005 Q3,C,Manufacturing,Manufacture of tobacco products,524,378,146,5,3
All,2005 Q3,C,Manufacturing,Manufacture of textiles,11197,6281,4916,52,928
All,2005 Q3,C,Manufacturing,Manufacture of wearing apparel,31833,7731,24102,574,1696
All,2005 Q3,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",529,409,120,11,178
All,2005 Q3,C,Manufacturing,Manufacture of paper and paper products,2066,1513,553,6,415
All,2005 Q3,C,Manufacturing,Printing and reproduction of recorded media,21235,14833,6402,134,3240
All,2005 Q3,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2546,1814,732,28,228
All,2005 Q3,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2864,1267,1597,18,236
All,2005 Q3,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",2923,1975,948,27,555
All,2005 Q3,C,Manufacturing,Manufacture of other non-metallic mineral products,1287,1079,208,8,218
All,2005 Q3,C,Manufacturing,Manufacture of basic metals,1203,1011,192,10,81
All,2005 Q3,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),4746,3502,1244,31,1168
All,2005 Q3,C,Manufacturing,"Manufacture of computer, electronic and optical products",11914,6282,5632,227,406
All,2005 Q3,C,Manufacturing,Manufacture of electrical equipment,2971,1680,1291,7,279
All,2005 Q3,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,2982,2494,488,32,733
All,2005 Q3,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,2018,1533,485,27,101
All,2005 Q3,C,Manufacturing,Manufacture of furniture,439,353,86,11,143
All,2005 Q3,C,Manufacturing,Other manufacturing,9328,5873,3455,77,1586
All,2005 Q3,C,Manufacturing,Repair and installation of machinery and equipment,10490,8709,1781,231,1303
All,2005 Q3,B,Mining and quarrying,Quarrying and other mining of non-metal ores,124,120,4,0,6
All,2005 Q3,D,Electricity and gas supply,Electricity and gas supply,8023,6862,1161,12,14
All,2005 Q3,E,"Sewerage, waste management and remediation services",Sewerage,349,225,124,0,35
All,2005 Q3,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",1284,784,500,0,192
All,2005 Q3,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,46,6,40,0,16
All,2005 Q3,F,Construction,Construction sites (manual workers only),56846,52126,4720,10,900
All,2005 Q3,F,Construction,Public sector sites,24306,22961,1345,7,323
All,2005 Q3,F,Construction,Public sector building sites,10571,9806,765,3,120
All,2005 Q3,F,Construction,Public sector civil engineering sites,13735,13155,580,4,203
All,2005 Q3,F,Construction,Private sector sites,32540,29165,3375,3,577
All,2005 Q3,F,Construction,Private sector building sites,30679,27414,3265,3,482
All,2005 Q3,F,Construction,Private sector civil engineering sites,1861,1751,110,0,95
All,2005 Q3,G,"Import/export, wholesale and retail trades",Import and export trade,514364,268179,246185,7921,98023
All,2005 Q3,G,"Import/export, wholesale and retail trades",Wholesale,69136,43130,26006,1097,14728
All,2005 Q3,G,"Import/export, wholesale and retail trades",Retail trade,218525,90429,128096,4704,54268
All,2005 Q3,H,"Transportation, storage, postal and courier services",Land transport,43727,38092,5635,376,2590
All,2005 Q3,H,"Transportation, storage, postal and courier services",Water transport,8814,5705,3109,52,322
All,2005 Q3,H,"Transportation, storage, postal and courier services",Air transport,18021,7009,11012,183,109
All,2005 Q3,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,63009,38358,24651,779,4297
All,2005 Q3,H,"Transportation, storage, postal and courier services",Postal and courier services,11094,7249,3845,272,679
All,2005 Q3,I,Accommodation and food services,Accommodation services,28430,15946,12484,675,766
All,2005 Q3,I,Accommodation and food services,Food and beverage services,188515,87407,101108,3709,12180
All,2005 Q3,J,Information and communications,Publishing,20484,11607,8877,255,1437
All,2005 Q3,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",15049,9164,5885,159,1527
All,2005 Q3,J,Information and communications,Telecommunications,16676,10335,6341,819,312
All,2005 Q3,J,Information and communications,Information technology services,28081,21099,6982,796,4587
All,2005 Q3,J,Information and communications,Information services,2392,1384,1008,60,425
All,2005 Q3,K,Financing and insurance,Financial services (except insurance and pension funding),99593,45689,53904,2092,5389
All,2005 Q3,K,Financing and insurance,Insurance,12053,4560,7493,305,133
All,2005 Q3,K,Financing and insurance,Services auxiliary to financial and insurance services,43385,21405,21980,2467,9544
All,2005 Q3,L,Real estate,Real estate,94219,63368,30851,2599,9672
All,2005 Q3,M,"Professional, scientific and technical services",Legal and accounting services,36267,16095,20172,339,5405
All,2005 Q3,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,24204,11944,12260,792,4147
All,2005 Q3,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",27548,18635,8913,332,2514
All,2005 Q3,M,"Professional, scientific and technical services",Scientific research and development,651,394,257,25,43
All,2005 Q3,M,"Professional, scientific and technical services",Advertising and market research,12555,7098,5457,295,3112
All,2005 Q3,M,"Professional, scientific and technical services","Veterinary services; Other professional, scientific and technical services",15262,9041,6221,310,4688
All,2005 Q3,N,Administrative and support services,Rental and leasing services,1904,1149,755,26,507
All,2005 Q3,N,Administrative and support services,Employment services,9052,3845,5207,280,1539
All,2005 Q3,N,Administrative and support services,"Travel agency, reservation service and related services",20025,8279,11746,904,2136
All,2005 Q3,N,Administrative and support services,Security and investigation services,36202,27381,8821,1048,165
All,2005 Q3,N,Administrative and support services,Services to buildings and landscape care,57599,20703,36896,444,1225
All,2005 Q3,N,Administrative and support services,"Office administrative, office support and other business support services",18505,9144,9361,337,3939
All,2005 Q3,P,Education,Education,131069,49135,81934,1477,5690
All,2005 Q3,Q,Human health and social work services,Human health services,76253,21579,54674,861,5104
All,2005 Q3,Q,Human health and social work services,Residential care services,26080,3231,22849,595,1022
All,2005 Q3,Q,Human health and social work services,Social work services,26398,5681,20717,775,1766
All,2005 Q3,R,"Arts, entertainment and recreation",Creative and performing arts activities,1736,1028,708,81,382
All,2005 Q3,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",439,178,261,3,73
All,2005 Q3,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
All,2005 Q3,R,"Arts, entertainment and recreation",Sports and other entertainment services,0,0,0,0,0
All,2005 Q3,S,Other services,Activities of membership organisations,8556,3624,4932,198,925
All,2005 Q3,S,Other services,"Repair of motor vehicles, motorcycles, computers, personal and household goods",16446,13853,2593,205,4813
All,2005 Q3,S,Other services,Other personal services,37187,13900,23287,1493,8748
All,2005 Q4,C,Manufacturing,Manufacture of food products,21506,12022,9484,238,769
All,2005 Q4,C,Manufacturing,Manufacture of beverages,3469,2568,901,33,21
All,2005 Q4,C,Manufacturing,Manufacture of tobacco products,521,375,146,2,3
All,2005 Q4,C,Manufacturing,Manufacture of textiles,10918,6013,4905,21,962
All,2005 Q4,C,Manufacturing,Manufacture of wearing apparel,31055,7664,23391,726,1564
